State,stateName,id,period,bfsMeasure,percap10k
AK,Alaska,2,post320,HBA,25.01554928
AL,Alabama,1,post320,HBA,23.86204069
AR,Arkansas,5,post320,HBA,23.99095501
AZ,Arizona,4,post320,HBA,24.35868849
CA,California,6,post320,HBA,32.2178785
CO,Colorado,8,post320,HBA,33.74004295
CT,Connecticut,9,post320,HBA,20.0544865
DC,District of Columbia,11,post320,HBA,40.94940269
DE,Delaware,10,post320,HBA,70.34558682
FL,Florida,12,post320,HBA,56.04873549
GA,Georgia,13,post320,HBA,52.15954945
HI,Hawaii,15,post320,HBA,24.29598156
IA,Iowa,19,post320,HBA,15.37208366
ID,Idaho,16,post320,HBA,25.79648754
IL,Illinois,17,post320,HBA,37.36637378
IN,Indiana,18,post320,HBA,21.85015075
KS,Kansas,20,post320,HBA,18.53559211
KY,Kentucky,21,post320,HBA,16.56343246
LA,Louisiana,22,post320,HBA,36.11689397
MA,Massachusetts,25,post320,HBA,21.99491244
MD,Maryland,24,post320,HBA,32.00632518
ME,Maine,23,post320,HBA,19.56536618
MI,Michigan,26,post320,HBA,27.43605921
MN,Minnesota,27,post320,HBA,20.7814978
MO,Missouri,29,post320,HBA,23.64182521
MS,Mississippi,28,post320,HBA,39.21174645
MT,Montana,30,post320,HBA,28.72439365
NC,North Carolina,37,post320,HBA,26.33464797
ND,North Dakota,38,post320,HBA,19.55221491
NE,Nebraska,31,post320,HBA,17.78321843
NH,New Hampshire,33,post320,HBA,16.6947241
NJ,New Jersey,34,post320,HBA,28.12369472
NM,New Mexico,35,post320,HBA,17.83645686
NV,Nevada,32,post320,HBA,36.49165821
NY,New York,36,post320,HBA,35.54105081
OH,Ohio,39,post320,HBA,21.95207501
OK,Oklahoma,40,post320,HBA,23.85663175
OR,Oregon,41,post320,HBA,21.74151684
PA,Pennsylvania,42,post320,HBA,20.61398428
RI,Rhode Island,44,post320,HBA,19.91766735
SC,South Carolina,45,post320,HBA,25.73458149
SD,South Dakota,46,post320,HBA,18.99036804
TN,Tennessee,47,post320,HBA,24.32212153
TX,Texas,48,post320,HBA,28.24194236
UT,Utah,49,post320,HBA,29.60113638
VA,Virginia,51,post320,HBA,24.4742001
VT,Vermont,50,post320,HBA,22.27603371
WA,Washington,53,post320,HBA,21.39229008
WI,Wisconsin,55,post320,HBA,19.25311648
WV,West Virginia,54,post320,HBA,14.00554754
WY,Wyoming,56,post320,HBA,79.48040549
